X_PS,Y_PS,BED_filt,moho_calc_250,Lon,Lat
-324908.764864103,1241895.24925981,-785.617492675781,-34062.25664,-14.6613020633004,-78.2252623442022
-315122.356283858,1241895.24925981,-766.571716308594,-34252.5808,-14.2379135892846,-78.2475110665397
-305335.947703614,1241895.24925981,-726.913513183594,-34447.01648,-13.8129314268704,-78.2691207721153
-295549.53912337,1241895.24925981,-721.694274902344,-34638.46048,-13.3863935832234,-78.290087821378
-285763.130543126,1241895.24925981,-763.752563476563,-34821.34448,-12.958339033877,-78.310408657462
-275976.721962882,1241895.2492598,-797.809936523438,-34988.192,-12.5288077091515,-78.3300798088953
-266190.313382638,1241895.24925981,-732.491577148438,-35133.12416,-12.0978404792001,-78.3490978922756
-256403.904802393,1241895.2492598,-510.193267822266,-35250.87568,-11.6654791376761,-78.3674596149112
-246617.496222149,1241895.2492598,-160.673751831055,-35336.09968,-11.2317663840244,-78.3851617774202
-236831.087641906,1241895.2492598,206.526611328125,-35385.43152,-10.7967458044011,-78.4022012762855
-227044.679061662,1241895.2492598,469.139007568359,-35396.15104,-10.3604618512285,-78.4185751063598
-217258.270481418,1241895.24925981,570.290588378906,-35366.62304,-9.92295982139822,-78.434280363317
-207471.861901174,1241895.2492598,550.277099609375,-35297.16288,-9.48428583313676,-78.449314246045
-197685.453320929,1241895.2492598,510.170440673828,-35188.87472,-9.04448680155315,-78.463674058976
-187899.044740685,1241895.2492598,536.584411621094,-35045.01072,-8.60361041289091,-78.4773572143493
-178112.636160441,1241895.2492598,643.217468261719,-34869.2424,-8.16170509751102,-78.4903612344032
-168326.227580198,1241895.2492598,767.729125976563,-34665.93456,-7.71882000163606,-78.5026837534913
-158539.818999954,1241895.2492598,818.913269042969,-34441.72256,-7.27500495788926,-78.5143225201187
-148753.41041971,1241895.2492598,734.937072753906,-34203.1784,-6.83031045466611,-78.5252753988955
-138967.001839465,1241895.2492598,513.061645507813,-33956.52272,-6.38478760437959,-78.5355403724017
-129180.593259222,1241895.2492598,199.489151000977,-33709.81872,-5.93848811062352,-78.5451155429622
-119394.184678977,1241895.2492598,-142.090972900391,-33469.89904,-5.4914642343023,-78.5539991343255
-109607.776098734,1241895.24925981,-456.510498046875,-33242.67888,-5.04376875877818,-78.562189493246
-99821.3675184885,1241895.2492598,-705.667724609375,-33034.63936,-4.59545495409061,-78.5696850909632
-90034.9589382447,1241895.2492598,-866.862487792969,-32851.44736,-4.14657654030531,-78.5764845245775
-80248.5503580008,1241895.24925981,-933.517517089844,-32697.39968,-3.69718765005326,-78.582586518318
-70462.1417777573,1241895.2492598,-920.534973144531,-32575.31584,-3.24734279032292,-78.5879899247008
-60675.7331975126,1241895.24925981,-864.627502441406,-32487.23216,-2.79709680357118,-78.5926937255744
-50889.324617269,1241895.2492598,-810.768859863281,-32434.968,-2.34650482822084,-78.5966970330508
-41102.9160370247,1241895.2492598,-789.258850097656,-32417.03232,-1.89562225861475,-78.5999990903192
-31316.5074567809,1241895.2492598,-799.873840332031,-32432.84832,-1.44450470449837,-78.6025992723425
-21530.0988765373,1241895.2492598,-816.845031738281,-32479.95648,-0.993207950104102,-78.6044970864325
-11743.6902962923,1241895.2492598,-811.884094238281,-32555.64048,-0.54178791291238,-78.6056921727053
-1957.28171604858,1241895.2492598,-776.900939941406,-32655.97664,-0.0903006021652783,-78.6061843044132
7829.12686419522,1241895.2492598,-728.030700683594,-32776.88864,0.361197922790472,-78.6059733881552
17615.5354444393,1241895.2492598,-688.709411621094,-32914.01632,0.812651594253737,-78.6050594639626
27401.9440246833,1241895.2492598,-667.558288574219,-33062.72448,1.26400437793478,-78.6034427052629
37188.3526049274,1241895.2492598,-650.788024902344,-33219.50416,1.71520031465886,-78.6011234187185
46974.7611851713,1241895.2492598,-615.485534667969,-33379.61216,2.16618356193013,-78.5981020439437
56761.1697654153,1241895.2492598,-551.671813964844,-33539.89584,2.61689843527867,-78.5943791530982
66547.5783456595,1241895.2492598,-473.694061279297,-33698.14784,3.06728944931455,-78.5899554503603
76333.9869259036,1241895.24925981,-411.151824951172,-33852.50768,3.51730135841339,-78.5848317712781
86120.3955061474,1241895.2492598,-386.988250732422,-34000.82736,3.96687919695964,-78.579009082003
95906.8040863916,1241895.2492598,-400.374237060547,-34142.75536,4.41596831907487,-78.5724884784051
105693.212666636,1241895.2492598,-426.901519775391,-34278.49904,4.86451443776053,-78.5652711850731
115479.62124688,1241895.2492598,-434.162872314453,-34408.17104,5.31246366338621,-78.5573585542012
125266.029827124,1241895.2492598,-399.917694091797,-34533.23088,5.7597625414571,-78.5487520643646
135052.438407368,1241895.24925981,-320.828216552734,-34654.75488,6.20635808959634,-78.5394533191868
144838.846987612,1241895.24925981,-209.341522216797,-34774.23888,6.65219783368084,-78.5294640459011
154625.255567856,1241895.2492598,-84.9939880371094,-34894.04288,7.0972298430719,-78.5187860938091
